league,season,date,team1,team2,team1_sets,team2_sets,final_score,sets_played,match_winner,set1_winner,set1_loser,comeback_win
Italian Women A2,2023-2024,23/12/2023 ,Narconon Volley Melendugno,Omag-Mt San Giovanni In M.No,2,3,2-3,5,Omag-Mt San Giovanni In M.No,Omag-Mt San Giovanni In M.No,Narconon Volley Melendugno,FALSE
Italian Women A2,2023-2024,23/12/2023 ,Pallavolo C.B.L. Costa Volpino,Ipag S.Lle Ramonda Montecchio,1,3,1-3,4,Ipag S.Lle Ramonda Montecchio,Ipag S.Lle Ramonda Montecchio,Pallavolo C.B.L. Costa Volpino,FALSE
Italian Women A2,2023-2024,23/12/2023 ,Cremonaufficio Esperia Cremona,Lpm Bam Mondovì,3,0,3-0,3,Cremonaufficio Esperia Cremona,Cremonaufficio Esperia Cremona,Lpm Bam Mondovì,FALSE
Italian Women A2,2023-2024,23/12/2023 ,Trasporti Bressan Offanengo,Volley Hermaea Olbia,3,1,3-1,4,Trasporti Bressan Offanengo,Trasporti Bressan Offanengo,Volley Hermaea Olbia,FALSE
Italian Women A2,2023-2024,26/12/2023 ,Cbf Balducci Hr Macerata,Omag-Mt San Giovanni In M.No,3,0,3-0,3,Cbf Balducci Hr Macerata,Cbf Balducci Hr Macerata,Omag-Mt San Giovanni In M.No,FALSE
Italian Women A2,2023-2024,26/12/2023 ,Cremonaufficio Esperia Cremona,Trasporti Bressan Offanengo,3,0,3-0,3,Cremonaufficio Esperia Cremona,Cremonaufficio Esperia Cremona,Trasporti Bressan Offanengo,FALSE
Italian Women A2,2023-2024,26/12/2023 ,Ipag S.Lle Ramonda Montecchio,Narconon Volley Melendugno,3,2,3-2,5,Ipag S.Lle Ramonda Montecchio,Narconon Volley Melendugno,Ipag S.Lle Ramonda Montecchio,TRUE
Italian Women A2,2023-2024,26/12/2023 ,Lpm Bam Mondovì,Pallavolo C.B.L. Costa Volpino,3,1,3-1,4,Lpm Bam Mondovì,Lpm Bam Mondovì,Pallavolo C.B.L. Costa Volpino,FALSE
Italian Women A2,2023-2024,28/12/2023 ,Volley Hermaea Olbia,Orocash Picco Lecco,2,3,2-3,5,Orocash Picco Lecco,Volley Hermaea Olbia,Orocash Picco Lecco,TRUE
Italian Women A2,2023-2024,7/1/2024 ,Pallavolo C.B.L. Costa Volpino,Cbf Balducci Hr Macerata,1,3,1-3,4,Cbf Balducci Hr Macerata,Cbf Balducci Hr Macerata,Pallavolo C.B.L. Costa Volpino,FALSE
Italian Women A2,2023-2024,7/1/2024 ,Trasporti Bressan Offanengo,Ipag S.Lle Ramonda Montecchio,2,3,2-3,5,Ipag S.Lle Ramonda Montecchio,Trasporti Bressan Offanengo,Ipag S.Lle Ramonda Montecchio,TRUE
Italian Women A2,2023-2024,7/1/2024 ,Omag-Mt San Giovanni In M.No,Lpm Bam Mondovì,1,3,1-3,4,Lpm Bam Mondovì,Lpm Bam Mondovì,Omag-Mt San Giovanni In M.No,FALSE
Italian Women A2,2023-2024,7/1/2024 ,Narconon Volley Melendugno,Volley Hermaea Olbia,3,0,3-0,3,Narconon Volley Melendugno,Narconon Volley Melendugno,Volley Hermaea Olbia,FALSE
Italian Women A2,2023-2024,7/1/2024 ,Orocash Picco Lecco,Cremonaufficio Esperia Cremona,2,3,2-3,5,Cremonaufficio Esperia Cremona,Orocash Picco Lecco,Cremonaufficio Esperia Cremona,TRUE
Italian Women A2,2023-2024,14/1/2024 ,Orocash Picco Lecco,Omag-Mt San Giovanni In M.No,1,3,1-3,4,Omag-Mt San Giovanni In M.No,Orocash Picco Lecco,Omag-Mt San Giovanni In M.No,TRUE
Italian Women A2,2023-2024,14/1/2024 ,Trasporti Bressan Offanengo,Lpm Bam Mondovì,1,3,1-3,4,Lpm Bam Mondovì,Trasporti Bressan Offanengo,Lpm Bam Mondovì,TRUE
Italian Women A2,2023-2024,14/1/2024 ,Ipag S.Lle Ramonda Montecchio,Volley Hermaea Olbia,0,3,0-3,3,Volley Hermaea Olbia,Volley Hermaea Olbia,Ipag S.Lle Ramonda Montecchio,FALSE
Italian Women A2,2023-2024,14/1/2024 ,Pallavolo C.B.L. Costa Volpino,Cremonaufficio Esperia Cremona,1,3,1-3,4,Cremonaufficio Esperia Cremona,Cremonaufficio Esperia Cremona,Pallavolo C.B.L. Costa Volpino,FALSE
Italian Women A2,2023-2024,14/1/2024 ,Cbf Balducci Hr Macerata,Narconon Volley Melendugno,3,1,3-1,4,Cbf Balducci Hr Macerata,Cbf Balducci Hr Macerata,Narconon Volley Melendugno,FALSE
Italian Women A2,2023-2024,21/1/2024 ,Narconon Volley Melendugno,Trasporti Bressan Offanengo,1,3,1-3,4,Trasporti Bressan Offanengo,Trasporti Bressan Offanengo,Narconon Volley Melendugno,FALSE
Italian Women A2,2023-2024,21/1/2024 ,Volley Hermaea Olbia,Cbf Balducci Hr Macerata,1,3,1-3,4,Cbf Balducci Hr Macerata,Volley Hermaea Olbia,Cbf Balducci Hr Macerata,TRUE
Italian Women A2,2023-2024,21/1/2024 ,Cremonaufficio Esperia Cremona,Ipag S.Lle Ramonda Montecchio,3,1,3-1,4,Cremonaufficio Esperia Cremona,Cremonaufficio Esperia Cremona,Ipag S.Lle Ramonda Montecchio,FALSE
Italian Women A2,2023-2024,21/1/2024 ,Lpm Bam Mondovì,Orocash Picco Lecco,3,1,3-1,4,Lpm Bam Mondovì,Orocash Picco Lecco,Lpm Bam Mondovì,TRUE
Italian Women A2,2023-2024,21/1/2024 ,Omag-Mt San Giovanni In M.No,Pallavolo C.B.L. Costa Volpino,3,0,3-0,3,Omag-Mt San Giovanni In M.No,Omag-Mt San Giovanni In M.No,Pallavolo C.B.L. Costa Volpino,FALSE
Italian Women A2,2023-2024,6/4/2024 ,Futura Busto Arsizio,Cbf Balducci Hr Macerata,3,2,3-2,5,Futura Busto Arsizio,Futura Busto Arsizio,Cbf Balducci Hr Macerata,FALSE
Italian Women A2,2023-2024,7/4/2024 ,Città Di Messina,Cda Volley Talmassons Fvg,2,3,2-3,5,Cda Volley Talmassons Fvg,Città Di Messina,Cda Volley Talmassons Fvg,TRUE
Italian Women A2,2023-2024,10/4/2024 ,Cda Volley Talmassons Fvg,Città Di Messina,1,3,1-3,4,Città Di Messina,Cda Volley Talmassons Fvg,Città Di Messina,TRUE
Italian Women A2,2023-2024,10/4/2024 ,Cbf Balducci Hr Macerata,Futura Busto Arsizio,0,3,0-3,3,Futura Busto Arsizio,Futura Busto Arsizio,Cbf Balducci Hr Macerata,FALSE
Italian Women A2,2023-2024,14/4/2024 ,Città Di Messina,Cda Volley Talmassons Fvg,0,3,0-3,3,Cda Volley Talmassons Fvg,Cda Volley Talmassons Fvg,Città Di Messina,FALSE
Italian Women A2,2023-2024,20/4/2024 ,Futura Busto Arsizio,Cda Volley Talmassons Fvg,0,3,0-3,3,Cda Volley Talmassons Fvg,Cda Volley Talmassons Fvg,Futura Busto Arsizio,FALSE
Italian Women A2,2023-2024,25/4/2024 ,Cda Volley Talmassons Fvg,Futura Busto Arsizio,3,0,3-0,3,Cda Volley Talmassons Fvg,Cda Volley Talmassons Fvg,Futura Busto Arsizio,FALSE
Italian Women A2,2023-2024,27/1/2024 ,Cda Volley Talmassons Fvg,Cremonaufficio Esperia Cremona,3,2,3-2,5,Cda Volley Talmassons Fvg,Cda Volley Talmassons Fvg,Cremonaufficio Esperia Cremona,FALSE
Italian Women A2,2023-2024,28/1/2024 ,Città Di Messina,Ipag S.Lle Ramonda Montecchio,3,1,3-1,4,Città Di Messina,Città Di Messina,Ipag S.Lle Ramonda Montecchio,FALSE
Italian Women A2,2023-2024,28/1/2024 ,Bartoccini-Fortinfissi Perugia,Cbf Balducci Hr Macerata,3,1,3-1,4,Bartoccini-Fortinfissi Perugia,Bartoccini-Fortinfissi Perugia,Cbf Balducci Hr Macerata,FALSE
Italian Women A2,2023-2024,28/1/2024 ,Omag-Mt San Giovanni In M.No,Futura Giovani Busto Arsizio,3,2,3-2,5,Omag-Mt San Giovanni In M.No,Futura Giovani Busto Arsizio,Omag-Mt San Giovanni In M.No,TRUE
Italian Women A2,2023-2024,28/1/2024 ,Lpm Bam Mondovì,Tecnoteam Albese Volley Como,0,3,0-3,3,Tecnoteam Albese Volley Como,Tecnoteam Albese Volley Como,Lpm Bam Mondovì,FALSE
Italian Women A2,2023-2024,3/2/2024 ,Cremonaufficio Esperia Cremona,Città Di Messina,1,3,1-3,4,Città Di Messina,Cremonaufficio Esperia Cremona,Città Di Messina,TRUE
Italian Women A2,2023-2024,4/2/2024 ,Futura Giovani Busto Arsizio,Lpm Bam Mondovì,3,1,3-1,4,Futura Giovani Busto Arsizio,Futura Giovani Busto Arsizio,Lpm Bam Mondovì,FALSE
Italian Women A2,2023-2024,4/2/2024 ,Tecnoteam Albese Volley Como,Omag-Mt San Giovanni In M.No,3,1,3-1,4,Tecnoteam Albese Volley Como,Omag-Mt San Giovanni In M.No,Tecnoteam Albese Volley Como,TRUE
Italian Women A2,2023-2024,4/2/2024 ,Cbf Balducci Hr Macerata,Cda Volley Talmassons Fvg,0,3,0-3,3,Cda Volley Talmassons Fvg,Cda Volley Talmassons Fvg,Cbf Balducci Hr Macerata,FALSE
Italian Women A2,2023-2024,4/2/2024 ,Ipag S.Lle Ramonda Montecchio,Bartoccini-Fortinfissi Perugia,0,3,0-3,3,Bartoccini-Fortinfissi Perugia,Bartoccini-Fortinfissi Perugia,Ipag S.Lle Ramonda Montecchio,FALSE
Italian Women A2,2023-2024,9/2/2024 ,Ipag S.Lle Ramonda Montecchio,Futura Giovani Busto Arsizio,0,3,0-3,3,Futura Giovani Busto Arsizio,Futura Giovani Busto Arsizio,Ipag S.Lle Ramonda Montecchio,FALSE
Italian Women A2,2023-2024,10/2/2024 ,Cbf Balducci Hr Macerata,Tecnoteam Albese Volley Como,3,2,3-2,5,Cbf Balducci Hr Macerata,Tecnoteam Albese Volley Como,Cbf Balducci Hr Macerata,TRUE
Italian Women A2,2023-2024,10/2/2024 ,Lpm Bam Mondovì,Cda Volley Talmassons Fvg,3,2,3-2,5,Lpm Bam Mondovì,Cda Volley Talmassons Fvg,Lpm Bam Mondovì,TRUE
Italian Women A2,2023-2024,10/2/2024 ,Bartoccini-Fortinfissi Perugia,Cremonaufficio Esperia Cremona,3,0,3-0,3,Bartoccini-Fortinfissi Perugia,Bartoccini-Fortinfissi Perugia,Cremonaufficio Esperia Cremona,FALSE
Italian Women A2,2023-2024,11/2/2024 ,Omag-Mt San Giovanni In M.No,Città Di Messina,3,0,3-0,3,Omag-Mt San Giovanni In M.No,Omag-Mt San Giovanni In M.No,Città Di Messina,FALSE
